Date,Open,High,Low,Close,Volume,Change
1993-11-05,45.71875,46.0625,45.53125,46.0625,363200,0.004771642808452625
1993-11-08,46.09375,46.25,45.96875,46.125,367600,0.0013568521031207597
1993-11-09,46.4375,46.46875,46.125,46.15625,246900,0.0006775067750677507
1993-11-10,46.15625,46.5,46.03125,46.5,46500,0.007447528774542992
1993-11-11,46.5,46.625,46.34375,46.375,88900,-0.002688172043010753
1993-11-12,46.46875,46.75,46.4375,46.59375,108200,0.0047169811320754715
1993-11-15,46.6875,46.6875,46.4375,46.5625,243300,-0.0006706908115358819
1993-11-16,46.65625,46.8125,46.46875,46.78125,492600,0.004697986577181208
1993-11-17,46.8125,46.8125,46.40625,46.53125,39600,-0.005344021376085505
1993-11-18,46.46875,46.5625,46.28125,46.40625,240800,-0.002686366689053056
1993-11-19,46.25,46.375,46.21875,46.3125,106000,-0.00202020202020202
1993-11-22,46.1875,46.21875,45.875,46.03125,165300,-0.006072874493927126
1993-11-23,46.28125,46.3125,46.03125,46.28125,89700,0.005431093007467753
1993-11-24,46.40625,46.5,46.34375,46.46875,77200,0.004051316677920324
1993-11-26,46.59375,46.59375,46.46875,46.5,1019800,0.0006724949562878278
1993-11-29,46.625,46.71875,46.3125,46.3125,517500,-0.004032258064516129
1993-11-30,46.28125,46.5625,46.25,46.34375,230000,0.0006747638326585695
1993-12-01,46.59375,46.625,46.40625,46.40625,379200,0.0013486176668914363
1993-12-02,46.5,46.5625,46.40625,46.53125,352000,0.0026936026936026937
1993-12-03,46.5,46.71875,46.5,46.71875,306000,0.004029550033579583
1993-12-06,46.78125,46.9375,46.78125,46.875,99500,0.0033444816053511705
1993-12-07,46.875,46.90625,46.78125,46.84375,88800,-0.0006666666666666666
1993-12-08,46.84375,46.84375,46.78125,46.84375,146700,0.0
1993-12-09,46.84375,46.90625,46.625,46.6875,416500,-0.00333555703802535
1993-12-10,46.71875,46.71875,46.5,46.59375,412900,-0.002008032128514056
1993-12-13,46.59375,46.875,46.53125,46.875,273200,0.006036217303822937
1993-12-14,46.90625,46.90625,46.53125,46.53125,41900,-0.007333333333333333
1993-12-15,46.59375,46.625,46.46875,46.46875,82600,-0.001343183344526528
1993-12-16,46.65625,46.65625,46.5625,46.625,78200,0.0033624747814391394
1993-12-17,46.40625,46.59375,46.375,46.5625,104700,-0.0013404825737265416
1993-12-20,46.53125,46.65625,46.5,46.625,68800,0.0013422818791946308
1993-12-21,46.5625,46.5625,46.40625,46.46875,205700,-0.003351206434316354
1993-12-22,46.59375,46.8125,46.5,46.78125,410300,0.006724949562878279
1993-12-23,46.75,46.84375,46.6875,46.75,533800,-0.0006680026720106881
1993-12-27,46.75,47.0,46.75,47.0,447100,0.0053475935828877
1993-12-28,46.96875,47.125,46.9375,47.09375,880600,0.0019946808510638296
1993-12-29,47.125,47.15625,47.0,47.03125,266700,-0.0013271400132714001
1993-12-30,47.0,47.0,46.75,46.84375,219900,-0.003986710963455149
1993-12-31,46.9375,47.0,46.5625,46.59375,312900,-0.00533689126084056
1994-01-03,46.59375,46.65625,46.40625,46.46875,960900,-0.0026827632461435278
1994-01-04,46.53125,46.65625,46.46875,46.65625,164300,0.004034969737726967
1994-01-05,46.71875,46.78125,46.53125,46.75,710900,0.0020093770931011385
1994-01-06,46.8125,46.84375,46.6875,46.75,201000,0.0
1994-01-07,46.84375,47.0625,46.71875,47.03125,775500,0.006016042780748663
1994-01-10,47.09375,47.59375,46.96875,47.59375,593700,0.011960132890365448
1994-01-11,47.5625,47.5625,47.34375,47.5,295200,-0.001969796454366382
1994-01-12,47.53125,47.53125,47.1875,47.34375,158400,-0.003289473684210526
1994-01-13,47.21875,47.3125,47.15625,47.21875,244300,-0.0026402640264026403
1994-01-14,47.375,47.5,47.375,47.40625,137200,0.003970880211780278
1994-01-17,47.40625,47.46875,47.3125,47.40625,17700,0.0
1994-01-18,47.46875,47.53125,47.375,47.46875,166400,0.0013183915622940012
1994-01-19,47.40625,47.46875,47.25,47.34375,200800,-0.0026333113890717576
1994-01-20,47.40625,47.5,47.375,47.46875,281100,0.0026402640264026403
1994-01-21,47.53125,47.53125,47.34375,47.375,85600,-0.0019749835418038184
1994-01-24,47.34375,47.5625,47.1875,47.1875,373800,-0.00395778364116095
1994-01-25,47.21875,47.25,47.09375,47.1875,310400,0.0
1994-01-26,47.1875,47.34375,47.125,47.3125,145100,0.0026490066225165563
1994-01-27,47.40625,47.8125,47.34375,47.75,344500,0.009247027741083224
1994-01-28,47.9375,48.03125,47.875,47.875,356500,0.002617801047120419
1994-01-31,48.0625,48.3125,48.0,48.21875,313800,0.007180156657963447
1994-02-01,48.15625,48.15625,47.90625,47.96875,303600,-0.005184705119896306
1994-02-02,48.125,48.28125,48.09375,48.28125,307600,0.006514657980456026
1994-02-03,48.1875,48.1875,47.90625,48.0625,466100,-0.004530744336569579
1994-02-04,48.0625,48.125,46.96875,46.96875,1403200,-0.022756827048114433
1994-02-07,46.84375,47.3125,46.84375,47.1875,516400,0.004657351962741184
1994-02-08,47.28125,47.28125,47.03125,47.21875,188200,0.0006622516556291391
1994-02-09,47.25,47.4375,47.1875,47.40625,144600,0.003970880211780278
1994-02-10,47.375,47.40625,47.0,47.0,883900,-0.008569545154911009
1994-02-11,47.03125,47.28125,46.8125,47.15625,519400,0.003324468085106383
1994-02-14,47.0625,47.375,47.0,47.21875,2742100,0.0013253810470510272
1994-02-15,47.3125,47.5,47.25,47.46875,374700,0.005294506949040371
1994-02-16,47.53125,47.53125,47.34375,47.4375,287600,-0.0006583278472679394
1994-02-17,47.65625,47.6875,47.03125,47.15625,342400,-0.005928853754940711
1994-02-18,47.1875,47.21875,46.75,46.875,313300,-0.005964214711729622
1994-02-22,47.0,47.34375,47.0,47.34375,154500,0.01
1994-02-23,47.40625,47.4375,47.0625,47.21875,391700,-0.0026402640264026403
1994-02-24,47.0625,47.0625,46.5625,46.59375,770800,-0.013236267372600927
1994-02-25,46.65625,46.8125,46.5625,46.8125,531300,0.004694835680751174
